iter	Passed	Remaining
584	2241	1589
585	2245	1586
586	2247	1581
587	2252	1577
588	2255	1573
589	2259	1570
590	2262	1566
591	2268	1563
592	2271	1559
593	2275	1555
594	2277	1550
595	2281	1546
596	2285	1542
597	2288	1538
598	2291	1534
599	2293	1529
600	2296	1524
601	2299	1520
602	2302	1515
603	2305	1511
604	2309	1507
605	2312	1503
606	2315	1499
607	2317	1494
608	2320	1490
609	2323	1485
610	2325	1480
611	2329	1476
612	2332	1472
613	2335	1468
614	2338	1464
615	2340	1459
616	2344	1455
617	2347	1450
618	2351	1447
619	2355	1443
620	2359	1439
621	2362	1435
622	2364	1430
623	2368	1427
624	2370	1422
625	2373	1417
626	2375	1413
627	2378	1408
628	2381	1404
629	2383	1400
630	2386	1395
631	2389	1391
632	2391	1386
633	2393	1381
634	2396	1377
635	2399	1373
636	2401	1368
637	2404	1364
638	2406	1359
639	2408	1354
640	2411	1350
641	2413	1346
642	2416	1341
643	2418	1337
644	2421	1332
645	2423	1328
646	2426	1323
647	2429	1319
648	2431	1315
649	2434	1311
650	2437	1306
651	2439	1302
652	2442	1297
653	2445	1293
654	2447	1289
655	2450	1285
656	2453	1280
657	2455	1276
658	2458	1272
659	2461	1267
660	2463	1263
661	2466	1259
662	2468	1254
663	2471	1250
664	2474	1246
665	2476	1242
666	2479	1237
667	2482	1233
668	2484	1229
669	2487	1225
670	2491	1221
671	2493	1217
672	2496	1213
673	2499	1208
674	2501	1204
675	2505	1200
676	2507	1196
677	2509	1192
678	2513	1188
679	2515	1183
680	2518	1179
681	2521	1175
682	2524	1171
683	2527	1167
684	2530	1163
685	2533	1159
686	2537	1156
687	2539	1151
688	2543	1147
689	2545	1143
690	2549	1139
691	2552	1136
692	2555	1132
693	2559	1128
694	2563	1124
695	2567	1121
696	2570	1117
697	2573	1113
698	2577	1109
699	2580	1106
700	2584	1102
701	2587	1098
702	2591	1094
703	2594	1090
704	2600	1088
705	2603	1084
706	2607	1080
707	2609	1076
708	2613	1072
709	2618	1069
710	2622	1065
711	2625	1062
712	2628	1058
713	2631	1054
714	2635	1050
715	2638	1046
716	2641	1042
717	2644	1038
718	2646	1034
719	2650	1030
720	2653	1026
721	2656	1022
722	2659	1018
723	2661	1014
724	2665	1011
725	2669	1007
726	2673	1003
727	2676	1000
728	2680	996
729	2683	992
730	2689	989
731	2692	985
732	2696	982
733	2698	978
734	2702	974
735	2705	970
736	2708	966
737	2712	962
738	2714	958
739	2719	955
740	2722	951
741	2725	947
742	2729	944
743	2734	940
744	2737	937
745	2741	933
746	2744	929
747	2747	925
748	2750	921
749	2753	917
750	2757	914
751	2760	910
752	2763	906
753	2766	902
754	2769	898
755	2773	895
756	2775	891
757	2779	887
758	2782	883
759	2786	879
760	2789	875
761	2791	871
762	2795	868
763	2798	864
764	2802	860
765	2805	857
766	2808	853
767	2812	849
768	2815	845
769	2819	842
770	2821	838
771	2825	834
772	2827	830
773	2830	826
774	2833	822
775	2835	818
776	2839	815
777	2842	811
778	2845	807
779	2848	803
780	2851	799
781	2854	795
782	2857	792
783	2860	788
784	2863	784
785	2866	780
786	2869	776
787	2872	772
788	2874	768
789	2877	764
790	2880	760
791	2882	756
792	2887	753
793	2889	749
794	2892	745
795	2894	741
796	2897	737
797	2900	734
798	2902	730
799	2905	726
800	2908	722
801	2910	718
802	2912	714
803	2915	710
804	2918	706
805	2920	703
806	2923	699
807	2925	695
808	2928	691
809	2931	687
810	2933	683
811	2935	679
812	2938	675
813	2940	672
814	2943	668
815	2946	664
816	2948	660
817	2951	656
818	2953	652
819	2955	648
820	2958	644
821	2960	641
822	2963	637
823	2965	633
824	2968	629
825	2970	625
826	2972	621
827	2975	618
828	2997	618
829	3004	615
830	3011	612
831	3019	609
832	3022	606
833	3025	602
834	3028	598
835	3031	594
836	3034	590
837	3036	587
838	3040	583
839	3043	579
840	3046	576
841	3049	572
842	3053	568
843	3057	565
844	3062	561
845	3065	558
846	3069	554
847	3072	550
848	3076	547
849	3079	543
850	3083	539
851	3086	536
852	3090	532
853	3094	528
854	3097	525
855	3102	521
856	3108	518
857	3113	515
858	3117	511
859	3119	507
860	3123	504
861	3127	500
862	3131	497
863	3135	493
864	3138	489
865	3141	486
866	3146	482
867	3149	478
868	3162	476
869	3165	473
870	3169	469
871	3171	465
872	3175	461
873	3178	458
874	3180	454
875	3185	450
876	3187	447
877	3192	443
878	3194	439
879	3198	436
880	3201	432
881	3204	428
882	3208	425
883	3210	421
884	3215	417
885	3218	414
886	3222	410
887	3225	406
888	3228	403
889	3232	399
890	3236	395
891	3239	392
892	3243	388
893	3247	385
894	3250	381
895	3254	377
896	3256	373
897	3260	370
898	3263	366
899	3266	362
900	3269	359
901	3272	355
902	3276	351
903	3279	348
904	3282	344
905	3285	340
906	3289	337
907	3292	333
908	3295	329
909	3298	326
910	3301	322
911	3306	319
912	3309	315
913	3312	311
914	3315	308
915	3319	304
916	3322	300
917	3325	297
918	3329	293
919	3331	289
920	3335	286
921	3338	282
922	3341	278
923	3344	275
924	3347	271
925	3352	267
926	3355	264
927	3358	260
928	3361	256
929	3364	253
930	3368	249
931	3371	245
932	3375	242
933	3377	238
934	3382	235
935	3384	231
936	3387	227
937	3390	224
938	3392	220
939	3395	216
940	3398	213
941	3400	209
942	3403	205
943	3406	202
944	3408	198
945	3411	194
946	3414	191
947	3416	187
948	3419	183
949	3422	180
950	3425	176
951	3427	172
952	3430	169
953	3433	165
954	3435	161
955	3438	158
956	3440	154
957	3443	150
958	3446	147
959	3449	143
960	3452	140
961	3454	136
962	3457	132
963	3460	129
964	3463	125
965	3466	121
966	3468	118
967	3473	114
968	3477	111
969	3481	107
970	3486	104
971	3490	100
972	3494	96
973	3498	93
974	3502	89
975	3505	86
976	3509	82
977	3512	79
978	3515	75
979	3518	71
980	3521	68
981	3526	64
982	3529	61
983	3532	57
984	3536	53
985	3539	50
986	3543	46
987	3548	43
988	3551	39
989	3554	35
990	3557	32
991	3561	28
992	3564	25
993	3566	21
994	3569	17
995	3571	14
996	3574	10
997	3577	7
998	3581	3
999	3585	0
